physics_quantity,intended_definition,code_file,function_line,actual_implementation,match_status,issue
dimensionless detuning,delta=2*Delta_Hz*2pi/Gamma,src/non_destructive_image/light_atom.py,"dimensionless_detuning, lines 11-18",exact intended formula,exact match,none
scalar phase,sigma0*n_col*delta/[2(1+delta^2)],src/non_destructive_image/light_atom.py,"scalar_phase_shift, lines 21-31",exact lineshape,exact match,none
scattered photons,Gamma/2*s/(1+s+delta^2)*tau,src/non_destructive_image/light_atom.py,"scattered_photons_per_atom, lines 60-83",exact notebook formula with peak-intensity option,exact match,none
figure N_max,30% clean-loss continuous pulse budget,scripts/generate_accumulated_snr_invariance_plot.py,line 137,"-log(1-f)/(eta*N_gamma), fractional",exact match,not an integer frame count; optimistic model
heating N_max,condensate reaches 30% depletion by recoil heating plus reabsorption,notebook_sections/03_light_atom_interaction.py,"Nmax_heating, lines 150-161",closed-form T^4 threshold with initial-density reabsorption,approximation documented,not used by current figure
multishot stopping,stop at condensate loss threshold,src/non_destructive_image/multishot.py,"simulate_multishot_sequence, lines 81-118","records state, then breaks when loss>=limit",implementation ambiguity,crossing state is included; array length is not N_max pulses
RMS accumulated SNR,sqrt(cumulative sum SNR_i^2),src/non_destructive_image/multishot.py,"accumulate_snr, lines 12-15",sqrt(nancumsum(snr^2)),exact match,independence assumption remains physical caveat
figure accumulated SNR,identical independent frames,scripts/generate_accumulated_snr_invariance_plot.py,lines 152-156,initial analytical SNR times sqrt(fractional N_max),approximation documented,does not include depletion-driven SNR change
PCI SNR,linear small-phase peak-pixel scaling,scripts/generate_accumulated_snr_invariance_plot.py,lines 139-143,2*t_p*phi*Nph over carrier shot plus read variance,approximation documented,"not full transfer, blur, binning, or ROI"
notebook PCI SNR,full transfer peak-pixel estimate,scripts/recover_notebook_multishot_stage.py,"pci_snr_pixel_for_phase, lines 180-189",exact transfer with fixed axis blur and read noise,exact notebook recovery,"still peak-pixel, not integrated ROI"
DGI SNR,opaque-stop dark-field scaling,scripts/generate_accumulated_snr_invariance_plot.py,lines 145-150,"4*sin^2(phi/2), signal-photon shot variance, read variance",approximation documented,"does not include OD=4 leakage, pupil, binning, or matched ROI"
camera noise,Poisson detected counts plus Gaussian read noise,src/non_destructive_image/camera.py,"add_camera_noise, lines 29-48",explicit RNG; read noise per output pixel,exact match,"figure uses variance only, not Monte Carlo"
reabsorption,mean principal-axis absorption probability,src/non_destructive_image/light_atom.py,"reabsorption_fraction, lines 102-117",mean(1-exp(-OD)),exact match,current sequence holds initial-density value fixed
Faraday objective destructiveness,N_gamma*(1+reabsorption),src/non_destructive_image/analysis.py,"evaluate_faraday_operating_point, lines 11-81",scalar proxy,approximation documented,not used by current PCI/DGI figure
