level,assumption,needed_for,if_violated
1,far-detuned response phi proportional to Delta^-1,single-frame phase scaling,use exact lineshape and local exponent
1,fixed power and exposure,N_gamma proportional to Delta^-2,photon number and saturation co-vary
1,weak phase,linear PCI and quadratic DGI tangents,exact transfer changes prefactor and curvature
2,clean exponential loss,N_max clean closed form,heating coefficient and stopping meaning change
2,continuous frame budget,analytic square-root cancellation,integer steps introduce rounding and off-by-one semantics
2,identical frames,SNR_shot sqrt N_max,replace with sqrt sum SNR_i squared
2,independent noise,square-root accumulation,use full covariance matrix
2,ideal opaque DGI stop,signal-photon shot noise only,leakage background changes high-detuning scaling
3,fixed reabsorption from initial cloud,current heating sequence,self-consistent density-dependent reabsorption changes evolution
3,fixed blur factor,current peak-pixel sequence,density-dependent imaging transfer changes SNR
4,known camera and technical noise,calibrated prediction,absolute SNR and optimum remain uncertain
4,chosen observable represents useful information,mode ranking,use matched estimator or Fisher information
